pctrellis,Analysis1,Número de Lote
pctrellis,Analysis2,Contenedor
pctrellis,Analysis3,Nro Hatch
pctrellis,Analysis4,PO Cliente
pctrellis,Analysis5,Subproductor
pctrellis,ArrDate,Fecha Arribo
pctrellis,Store,Supermercado
pctrellis,Variety,Variedad
pctrellis,Vessel,PO / Nave
pctrellis,Warehouse,Frigorifico o Locacion
pctrellis,Port,Puerto
